id,source,text,MGT
1624,vukuzenzele,"izinsiza zikahulumeni ukubhekana nezidingo zomphakathi, ku ngaba amathafa, ukuvikelwa kokudla, ezinye izikhungo zokuthuthukiswa koku khula kwabantwana, noma ukwenza ngcono imigwaqo futhi ifinyeleleke kalula.Kuyinqubekelaphambili, ngoba kuhlinzeka",0
train_isizulu_00734,AfriHate,"ihlabe""@username : nayi ingulube ing nonela""",0
train_isizulu_01699,AfriHate,"@username uthi ""iyaku khumbula imomozi yam"" ke 😂🤣",0
train_isizulu_00185,AfriHate,nankoke amabhunu again... bona into enhle ka shwi nalo okhalayo wakubo ##url,0
dev_isizulu_00504,AfriHate,"akaxhumane no mshoza rt""@username : ufuna ngikwenze iyellowbone ? umbuzo uthi, kanjani?""",0
632, kulindelwe ezinoju nobisi kowe anc ,"UBUMBANO, ezemfundo, ukubuyiswa komhlaba ngaphandle kwesinxephezelo, ezempilo, ukufukula ezomnotho, ukwakha amathuba emisebenzi, ngezinye zezinto okulindeleke ukuthi zibe seqhulwini enkulumeni yaminyaka yonke ye-ANC ezothulwa nguMengameli wale nhlangano, uMnuz Cyril Ramaphosa.Le nkulumo ibhekwe ngabomvu, ikakhulu kulo nyaka wokhetho, njengoba le nhlangano izobe ikhankasela ukuwina ukhetho ukuze igcine amandla okuhola uhulumeni kuleli ngaphandle kwaseWestern Cape lapho kuphethe iDA.Umgubho iJanuwari 8, uzoba senkundleni yezemidlalo iMoses Mabhida eThekwini kusasa. Le nhlangano imemezele ukuthi ilindele ukugcwalisa le nkundla emumatha abantu abangu-87 000.Abahlaziyi bezombusazwe abakhulume neSolezwe, bathe lezi zinto ezibalwe ngenhla yizona ezizobe zihamba phambili enkulumeni kaRamaphosa.Umhlaziyi, uMnuz Protas Madlala, uthe ucabanga ukuthi inkulumo kamengameli izogxila kakhulu odabeni lokudala amathuba emisebenzi nokufukula ezomnotho.“Angingabazi ukuthi uRamaphosa imkhathaza kakhulu indaba yomnotho wezwe osuhlale isikhathi eside ungasimami yingakho enza konke okusemandleni ukuba kuguqulwe isimo somnotho wezwe,” kusho uMadlala.Uthe ngeke ayishiye ngaphandle indaba yobumbano ikakhulukazi njengoba uhlangothi obeluhamba noDkt Nkosazana Dlamini Zuma, ngesikhathi kuyiwa eNasrec, kade lungamfuni.“Enye into engicabanga ukuthi uzoyikhuza, isihlava sokubulalana kosopolitiki esenzeka kakhulu lapha KwaZulu-Natal,” kusho uMadlala.Omunye umhlaziyi wezepolitiki ozimele, uMnuz Bukani Mngoma, naye uhambe emazwini kaMadlala wathi ubona inkulumo kamengameli izogxila kakhulu ekudaleni amathuba emisebenzi nokufukula umnotho.“Udaba lwamathuba emisebenzi nezomnotho kuyahambisana. Enye into engicabanga ukuthi uzoyithinta, wudaba lwezemfundo nodaba lokubuyiswa komhlaba ngaphandle kwezinxephezelo,” kusho uMngoma.Uthe ezemfundo zibalulekile ngoba ziyisikhali sezwe.Naye uRamaphosa ekhuluma kuleli sonto emgubheni weminyaka engu-107 kwabunjwa i-ANC oHlange, eNanda, ubalule ibanga eselihanjiwe kwezemfundo kuleli.Ubale ukunyuka kwemiphumela ka-matric unyaka nonyaka, isibalo esiphezulu sabafundi ababhala leli banga, ukudla ezikoleni, ukuthuthwa kwabafundi njengezinye zezinto le nhlangano ezenze ngempumelelo selokhu yathatha amandla ombuso.Ukhale ngabafundi abaqala isikole kodwa bangafinyeleli kwa-matric, wathi lokhu kuyabakhathaza.Ubalule nokuthi uhulumeni wandise isibalo sabantu abasebenzayo kuleli.“Sathatha izintambo abantu abangu-8 million ababesebenza kuleli, sengeze ngabanye abangu-7 million asebesebenza manje selokhu sathatha izintambo.“Umhlaba sizowuthatha ngaphandle kwesinxephezelo. Sizobhekana nokwahlukana, sizobumbana,” kusho uRamaphosa ngamafuphi eNanda.Kuleli sonto, abaholi abahlukene abaphezulu bale nhlangano bankanise isifundazwe sonke benxenxa abantu ukuthi bathamele le nkulumo eMabhida.UMnuz Zizi Kodwa, obhekele ezokuxhumana ehhovisi likaRamaphosa kwi-ANC, uthe abantu bazogcwala nakwenye indawo abazobe behlelelwe kuyona uma sekugcwele eMabhida.“Zintathu kuphela izinhlangano ezikwazi ukugcwalisa izinkundla kuleli. I-ANC, iChiefs uma idlala nePirates nebandla iZCC. Sizoyigcwalisa iMabhida,” kusho uKodwa.Le nhlangano ithe yonke into isimi ngomumo ngalo mgubho.",0
1584,vukuzenzele,"Lokhu kuzosiza ikhomishani ukuthi ikufake esifundeni sokuvota esifanele. AKUDINGEKI ukuthi uze nokufakazela ikheli.UMamabolo unxuse abantu ngabodwana, amaqembu ezepolitiki, izinhlangano zomphakathi, izinhlangano ezingekho ngaphansi kukahulumeni,",0
2716,vukuzenzele,"okusa-balele ngezindaba okukhulu-nywa ngazo. Ngokungashintshi silokhu sithembele kulwazi lwezesayensi, lwezomnotho kanye nolwazi esiluthole ngokubona okwenzekayo uma kumele sithathe izinqumo nokusungula imithetho-nqubo ukuze sibhekane negciwane le-corona.",0
387,vukuzenzele,"Isigaba 2: Ama-ejenti azoshayela umfundi, ofuna isikhala sokufunda esikhungweni semfundo ephakeme, ucingo mahhala, ngokusebenzisa isikhungo sezingcingo, kubhaliswe nemininingwane kusizindalwazi se-CACH, kuhlonzwe umkhakha umfundi awubhalisele kanye",0
2233,vukuzenzele,Izindlela ezingakhethwa zoxhaso kanye nosizo lwezezimali.,0
733,vukuzenzele,"Ukuhlukumeza kwe nzeka ngezindlela ezahlu kene futhi kubalulekile ukuthi abantu besifazane bazi izindlela ezahlukene zokuhlukumeza ukuze ba zivikele. Udlame lwasekhaya lwe nzeka uma umuntu ehle lwa yilokhu:Ukushaywa: Isibonelo, uma ushaywa noma",0
2300,vukuzenzele,abazali kanye nomphakathi indlela yokuziphatha kuinthanethi.,0
526,vukuzenzele,Ethel Zulu uhola phambili epulazini lakhe lapho akhulisa khona izitshalo nezinkukhu azithumela ezitolo ezinkulu.,0
